,Unnamed: 0,id,Star_name,Distance,Mass,Radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,1,1,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,2,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
3,3,5,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
4,4,7,2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
5,5,8,2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,24 Bootis b,313,0.91 Jupiters,5.59,2018
6,6,9,2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
7,7,10,2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
8,8,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,2M0437 b,419,4 Jupiters,16.186,2021
9,9,12,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
10,10,13,2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
12,12,17,2MASSI J0103320+193536,70.0,0.049638576,0.1007077399999999,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
13,13,18,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
14,14,19,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
15,15,20,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,42 Draconis b,296,3.88 Jupiters,4.8262,2008
16,16,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
17,17,25,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
18,18,26,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
19,19,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
20,20,28,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
21,21,29,2MASS J02431371−2453298,35.0,0.031501404,0.1017353699999999,16 Cygni B b,69,1.78 Jupiters,6.215,1996
22,22,30,LP 771-21,53.0,0.074457864,0.11098404,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
23,23,32,Teegarden's star,12.578,0.07636704,0.1305090099999999,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
24,24,33,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,24 Bootis b,313,0.91 Jupiters,5.59,2018
25,25,34,WISE J0254+0223,24.0,0.06204822,0.1952496999999999,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
26,26,35,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
27,27,36,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,2M0437 b,419,4 Jupiters,16.186,2021
28,28,37,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
29,29,38,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
32,32,41,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
33,33,42,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
34,34,43,LP 944-20,20.9,0.069684924,0.1469510899999999,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
35,35,44,2MASP J0345432+254023,88.0,0.070639512,0.10790115,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
36,36,45,Teide 1,380.0,0.05250234,0.3884441399999999,42 Draconis b,296,3.88 Jupiters,4.8262,2008
37,37,46,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,47 Ursae Majoris b,45,2.53 Jupiters,5.037,1996
38,38,47,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,47 Ursae Majoris c,45,0.54 Jupiters,5.037,2001
39,39,49,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
40,40,51,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
41,41,52,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,55 Cancri b,41,0.8306 Jupiters,5.96,1996
42,42,53,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,55 Cancri c,41,0.1714 Jupiters,5.96,2004
43,43,54,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,55 Cancri d,41,3.878 Jupiters,5.96,2002
44,44,56,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,55 Cancri f,41,0.141 Jupiters,5.96,2007
45,45,57,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,61 Virginis b,28,5.1 Earths,4.735,2009
46,46,58,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,61 Virginis c,28,18.2 Earths,4.735,2009
47,47,59,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,61 Virginis d,28,22.9 Earths,4.735,2009
48,48,60,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
49,49,61,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,70 Virginis b,58,7.49 Jupiters,4.96808,1996
50,50,62,2MASS J0523−1403,40.0,0.064911984,0.10379063,75 Ceti b,271,3 Jupiters,5.3532,2012
51,51,64,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
52,52,66,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
53,53,67,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
54,54,70,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,AF Leporis b,88,5.237 Jupiters,6.332,2023
55,55,71,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
56,56,72,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
57,57,74,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,AU Microscopii c,32,9.6 Earths,8.81,2021
58,58,75,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,51 Eridani b,97,2 Jupiters,5.21149,2015
59,59,76,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
60,60,77,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,55 Cancri b,41,0.8306 Jupiters,5.96,1996
61,61,78,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999,55 Cancri c,41,0.1714 Jupiters,5.96,2004
62,62,80,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,55 Cancri e,41,7.99 Earths,5.96,2004
63,63,81,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,55 Cancri f,41,0.141 Jupiters,5.96,2007
64,64,82,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999,61 Virginis b,28,5.1 Earths,4.735,2009
65,65,85,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
66,66,86,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999,70 Virginis b,58,7.49 Jupiters,4.96808,1996
67,67,87,LHS 2021,55.0,0.084003744,0.1181774499999999,75 Ceti b,271,3 Jupiters,5.3532,2012
68,68,88,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
69,69,89,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
70,70,90,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,81 Ceti b,330,5.3 Jupiters,5.64307,2008
71,71,91,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
72,72,92,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
73,73,94,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999,AB Pictoris b,163,13.5 Jupiters,9.13,2005
74,74,95,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999,AF Leporis b,88,5.237 Jupiters,6.332,2023
75,75,96,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
76,76,97,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
77,77,98,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,AU Microscopii b,32,20.12 Earths,8.81,2020
78,78,101,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
79,79,102,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999,55 Cancri b,41,0.8306 Jupiters,5.96,1996
80,80,103,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,55 Cancri c,41,0.1714 Jupiters,5.96,2004
81,81,104,DEN 1048-3956,13.15,0.073503276,0.10995641,55 Cancri d,41,3.878 Jupiters,5.96,2002
82,82,105,Luhman 16B,6.516,0.041047284,0.10481826,55 Cancri e,41,7.99 Earths,5.96,2004
83,83,106,Luhman 16A,6.516,0.03818352,0.10379063,55 Cancri f,41,0.141 Jupiters,5.96,2007
84,84,107,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,61 Virginis b,28,5.1 Earths,4.735,2009
85,85,108,TWA 28,180.0,0.034365168,0.24560357,61 Virginis c,28,18.2 Earths,4.735,2009
86,86,109,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61 Virginis d,28,22.9 Earths,4.735,2009
87,87,111,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,70 Virginis b,58,7.49 Jupiters,4.96808,1996
88,88,112,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,75 Ceti b,271,3 Jupiters,5.3532,2012
89,89,113,TWA 26,137.0,0.02863764,0.2260786,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
90,90,115,2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,81 Ceti b,330,5.3 Jupiters,5.64307,2008
91,91,116,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
92,92,119,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,AB Pictoris b,163,13.5 Jupiters,9.13,2005
93,93,120,2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999,AF Leporis b,88,5.237 Jupiters,6.332,2023
94,94,123,2M 1237+6526,45.6,0.039138108,0.0965972199999999,AU Microscopii b,32,20.12 Earths,8.81,2020
95,95,125,TWA 29,262.0,0.001909176,2.569075,51 Eridani b,97,2 Jupiters,5.21149,2015
96,96,126,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.1007077399999999,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
97,97,127,Kelu-1A,61.0,0.060139044,0.1007077399999999,55 Cancri b,41,0.8306 Jupiters,5.96,1996
98,98,128,Kelu-1B,61.0,0.055366104,0.1007077399999999,55 Cancri c,41,0.1714 Jupiters,5.96,2004
99,99,129,2MASS J13204427+0409045,101.0,0.063957396,0.10379063,55 Cancri d,41,3.878 Jupiters,5.96,2002
100,100,130,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,55 Cancri e,41,7.99 Earths,5.96,2004
101,101,131,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.0965972199999999,55 Cancri f,41,0.141 Jupiters,5.96,2007
102,102,132,2MASS J13595510-4034582,51.0,0.060139044,0.102763,61 Virginis b,28,5.1 Earths,4.735,2009
103,103,133,ULAS J141623.94+134836.3,29.7,0.030546816,0.0986524799999999,61 Virginis c,28,18.2 Earths,4.735,2009
104,104,134,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.1017353699999999,61 Virginis d,28,22.9 Earths,4.735,2009
105,105,135,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
106,106,136,LHS 2924,38.5,0.072548688,0.10892878,70 Virginis b,58,7.49 Jupiters,4.96808,1996
107,107,137,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,75 Ceti b,271,3 Jupiters,5.3532,2012
108,108,138,LSPM J1440+1339,72.0,0.087822096,0.1222879699999999,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
109,109,139,2MASS J14482563+1031590 [de],47.0,0.056320692,0.1017353699999999,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
110,110,140,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445,81 Ceti b,330,5.3 Jupiters,5.64307,2008
111,111,141,CFBDSIR 1458+10B,104.0,0.008591292,0.1335918999999999,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
112,112,142,TVLM 513-46546,35.1,0.0715941,0.10790115,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
113,113,143,2MASS 1503+2525,20.7,0.042001872,0.0965972199999999,AB Aurigae b,529,9 Jupiters,7.076,2022
114,114,144,CFBDS J150411+102717,71.0,0.042001872,0.0965972199999999,AB Pictoris b,163,13.5 Jupiters,9.13,2005
115,115,145,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,AF Leporis b,88,5.237 Jupiters,6.332,2023
116,116,146,2MASS 1507−1627,23.9,0.05727528,0.1017353699999999,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
117,117,147,TVLM 868-110639,53.0,0.075412452,0.11098404,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
118,118,149,2MASSW J1515008+484742 [de],34.0,0.054411516,0.1017353699999999,AU Microscopii c,32,9.6 Earths,8.81,2021
119,119,150,2MASSI J1526140+204341 [de],67.0,0.051547752,0.1007077399999999,51 Eridani b,97,2 Jupiters,5.21149,2015
120,120,151,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
121,121,152,2MASS J15462718-3325111 [de],37.0,0.042001872,0.0965972199999999,55 Cancri b,41,0.8306 Jupiters,5.96,1996
122,122,153,2MASSW J1552591+294849 [de],68.0,0.02863764,0.1469510899999999,55 Cancri c,41,0.1714 Jupiters,5.96,2004
123,123,154,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,55 Cancri d,41,3.878 Jupiters,5.96,2002
124,124,155,2MASS J16150413+1340079 [de],48.0,0.040092696,0.0965972199999999,55 Cancri e,41,7.99 Earths,5.96,2004
125,125,156,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.0965972199999999,55 Cancri f,41,0.141 Jupiters,5.96,2007
126,126,157,2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,61 Virginis b,28,5.1 Earths,4.735,2009
127,127,158,2MASSW J1632291+190441 [de],50.0,0.046774812,0.0996801099999999,61 Virginis c,28,18.2 Earths,4.735,2009
128,128,159,WISEPA J164715.59+563208.2,28.0,0.039138108,0.0965972199999999,61 Virginis d,28,22.9 Earths,4.735,2009
129,129,160,LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
130,130,161,2MASSI J1726000+153819,114.0,0.022910112,0.1438681999999999,70 Virginis b,58,7.49 Jupiters,4.96808,1996
131,131,163,SDSSp J175032.96+175903.9,90.0,0.044865636,0.0996801099999999,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
132,132,164,2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
133,133,165,LSR J1835+3259,18.5,0.073503276,0.10995641,81 Ceti b,330,5.3 Jupiters,5.64307,2008
134,134,166,2MASSW J1841086+311727,138.0,0.063957396,0.10379063,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
135,135,167,2MASS J18432213+4040209,46.0,0.091640448,0.12537086,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
136,136,168,2MASS J20004841-7523070,105.0,0.0238647,0.1931944399999999,AB Aurigae b,529,9 Jupiters,7.076,2022
137,137,169,SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,AB Pictoris b,163,13.5 Jupiters,9.13,2005
138,138,170,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,AF Leporis b,88,5.237 Jupiters,6.332,2023
139,139,172,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
140,140,173,PSO J318.5−22,80.0,0.006204822,0.15722739,AU Microscopii b,32,20.12 Earths,8.81,2020
141,141,174,HB 2124-4228,113.0,0.089731272,0.1243432299999999,AU Microscopii c,32,9.6 Earths,8.81,2021
142,142,175,2MASS J21392676+0220226,32.1,0.043911048,0.0986524799999999,51 Eridani b,97,2 Jupiters,5.21149,2015
143,143,176,2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
144,144,178,2MASSW J2206450-421721,93.0,0.021000936,0.13667479,55 Cancri c,41,0.1714 Jupiters,5.96,2004
145,145,179,2MASSW J2208136+292121,154.0,0.025773876,0.1448958299999999,55 Cancri d,41,3.878 Jupiters,5.96,2002
146,146,180,2MASSW J2224438-015852,38.0,0.058229868,0.1017353699999999,55 Cancri e,41,7.99 Earths,5.96,2004
147,147,181,2MASS J22282889-4310262,35.0,0.040092696,0.0965972199999999,55 Cancri f,41,0.141 Jupiters,5.96,2007
148,148,182,2MASS J22373255+3922398,64.0,0.069684924,0.10687352,61 Virginis b,28,5.1 Earths,4.735,2009
149,149,183,2MASSW J2244316+204343,56.0,0.011455056,0.1325642699999999,61 Virginis c,28,18.2 Earths,4.735,2009
150,150,184,2MASS J23224684-3133231,56.0,0.022910112,0.1428405699999999,61 Virginis d,28,22.9 Earths,4.735,2009
151,151,185,2MASS J23225299-6151275,148.0,0.016227996,0.16339317,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
152,152,186,2MASS J23515044-2537367,67.0,0.084003744,0.1192050799999999,70 Virginis b,58,7.49 Jupiters,4.96808,1996
153,153,187,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,75 Ceti b,271,3 Jupiters,5.3532,2012
154,154,225,WISE 0410+1502,20.0,0.005727528,0.1202327099999999,51 Eridani b,97,2 Jupiters,5.21149,2015
155,155,229,WISE 0458+6434A,35.9,0.01431882,0.4316046,55 Cancri d,41,3.878 Jupiters,5.96,2002
156,156,230,WISE 0458+6434B,35.9,0.00954588,0.3904993999999999,55 Cancri e,41,7.99 Earths,5.96,2004
